epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,10514.9,0.61421,0.91095,1.13249,0.72577,0.63439,0.76311,0.60855,0.82788,1.16869,1.34023,9.19632e-05,9.19632e-05,9.19632e-05
90,10635.8,0.61352,0.87096,1.14025,0.66263,0.70306,0.74868,0.59884,0.82484,1.14129,1.3456,8.48946e-05,8.48946e-05,8.48946e-05
91,10751.5,0.44252,0.53644,1.03622,0.65217,0.71394,0.74858,0.59653,0.84335,1.15446,1.37706,7.7826e-05,7.7826e-05,7.7826e-05
92,10867,0.44457,0.51037,1.0237,0.7017,0.69078,0.74816,0.60363,0.80688,1.1037,1.3458,7.07574e-05,7.07574e-05,7.07574e-05
93,10985.1,0.43037,0.48402,1.02655,0.63802,0.75086,0.73098,0.59303,0.79019,1.16234,1.32301,6.36888e-05,6.36888e-05,6.36888e-05
94,11112,0.42517,0.4657,1.02066,0.68964,0.76717,0.77119,0.62361,0.78918,1.09993,1.31703,5.66202e-05,5.66202e-05,5.66202e-05
95,11234.9,0.42478,0.4658,1.02786,0.74285,0.6843,0.7558,0.61193,0.78665,1.11722,1.31592,4.95516e-05,4.95516e-05,4.95516e-05
96,11352.2,0.40829,0.44109,1.00437,0.72537,0.71736,0.75617,0.62138,0.81541,1.09953,1.32497,4.2483e-05,4.2483e-05,4.2483e-05
97,11469,0.39682,0.42691,1.00173,0.69799,0.70028,0.74656,0.61464,0.81477,1.13507,1.34246,3.54144e-05,3.54144e-05,3.54144e-05
98,11586.9,0.39539,0.43477,1.00441,0.7002,0.72912,0.76241,0.61124,0.80829,1.14246,1.3398,2.83458e-05,2.83458e-05,2.83458e-05
99,11703,0.39336,0.42313,0.99691,0.7064,0.68383,0.75572,0.61368,0.79605,1.16765,1.32485,2.12772e-05,2.12772e-05,2.12772e-05
100,11818.5,0.38411,0.41837,0.99276,0.6817,0.71094,0.75054,0.62384,0.78234,1.15816,1.32199,1.42086e-05,1.42086e-05,1.42086e-05
